,momentum_1y,momentum_6m,momentum_3m,momentum_15d
LEN,-0.2271221004333427,-0.2658003067237067,-0.1333015721772276,-0.09967336434722351
LLY,0.08582947913891892,0.2558709442522864,-0.16608085992709953,-0.09258041342466639
LYV,0.179278781661798,-0.07644296131504202,0.031970722275928454,-0.03884494179690057
LKQ,-0.2759295499021537,-0.01102572669562396,-0.01986754966887383,-0.05582137161084566
LMT,0.4062865892101237,0.2913470484854741,0.28528800444508406,-0.06908527224217831
LOW,0.018184174153420107,-0.07636548859807102,-0.030117259823081,-0.06315078292663523
LULU,-0.5522135956854143,-0.12043073341094257,-0.2830233440880622,-0.11075148590596129
LYB,0.09148576261629437,0.5837594600122726,0.8116518483855872,0.1554991792269811
MTB,0.08708774625473437,-0.002467395135707706,-0.043226273846897145,-0.05626220761278655
MRO,0.0,0.0,0.0,0.0
MPC,0.6535369774919606,0.2588097302259178,0.49039971017993,0.12133739154136203
MKTX,-0.16279286847755037,0.007866052365434362,-0.017472750178014307,-0.029906440971283144
MAR,0.3208849198295085,0.24952000614391934,0.03459239476026954,0.005779989490927839
MLM,0.1986430690706893,-0.04545454545454575,-0.09653759539597107,-0.05201752514727309
MAS,-0.1443827424177705,-0.14620630861040063,-0.07297130515273076,-0.05459408432976676
MA,-0.07700577634432049,-0.1067278017811486,-0.12605462482099394,-0.026895664034733868
MTCH,-0.03462385898646492,-0.14401339659503165,-0.06379731379731302,0.009545753785385358
MKC,-0.3649969078540508,-0.20489391358215803,-0.25323636363636337,-0.20685926154796863
MCD,-0.013422818791945956,0.02306621594750413,-0.012949640287769681,-0.05677096064531906
MCK,0.3010030922392346,0.17252817466251558,0.0436834462729907,-0.060784911577663525
MDT,-0.006242197253434112,-0.07009345794392619,-0.09815634977855558,-0.034832451499117845
MRK,0.34973298488808235,0.5329719963866313,0.11257843963660141,0.02679574725559708
META,-0.10061924576521153,-0.2669248230738417,-0.17738020318259473,-0.14850717332299368
MET,-0.17486860965121853,-0.13833104652613193,-0.14821208384710238,-0.03694409591523784
MTD,0.06405073525696214,0.050251882886926724,-0.10672191072804815,0.05019950124688277
MGM,0.17025257249766224,0.09035444509006396,0.013228941684665152,0.05688538439876112
MCHP,0.23066589905968216,-0.009422304603027953,-0.017315353968740288,-0.005119453924914974
MU,2.858461872691725,1.268697707095869,0.24273169366406533,-0.03919394103327045
MSFT,-0.05946084724005363,-0.27672260612043453,-0.2500409433344255,-0.10390881072354574
MAA,-0.25748904042864107,-0.11917659804983805,-0.11089238845144411,-0.08031674208144779
MRNA,0.7008274984086558,1.1750101750101747,0.6382587369711825,0.018875119161105847
MHK,-0.16262738717136094,-0.2192590226764607,-0.10979606700655509,-0.08804327550830071
MOH,-0.5706275943250103,-0.2665749510556119,-0.1503095690553542,-0.03889890445153199
TAP,-0.30780681442275826,-0.055731046931407735,-0.09650259067357536,-0.10058027079303666
MDLZ,-0.13196436660123734,-0.07942353883106346,0.05524963289280582,-0.014231824417009209
MPWR,0.7638325910357109,0.1883435789662946,0.11327528663627517,0.038978904031521155
MNST,0.24544981799272048,0.11412622111955395,-0.07002329795495743,-0.048344370860927466
MCO,-0.07918069823948137,-0.08470159530518451,-0.1640286377708986,-0.08308926524894944
MS,0.27408256880733806,-0.01991178323881504,-0.14113749309773593,-0.02811797050737319
MOS,-0.08041313168572306,-0.28217679239850224,0.031870860927152966,-0.05064737242955053
MSI,0.044775425796408364,-0.012648221343873223,0.19534240748617537,-0.02024273854400449
MSCI,-0.03581039486412807,-0.02673768308921487,-0.0570558689968349,-0.032935821896058926
NDAQ,0.1064378789833591,-0.009814109225263712,-0.13057583130575923,-0.026560726447219296
NTAP,0.1275537779699487,-0.1347876575978757,-0.05077805077805009,0.03626067951520007
NFLX,-0.04028436018957249,-0.2289545567419916,-0.0034235583609710796,-0.05928095334275896
NEM,1.0887949260042302,0.18238391574916224,-0.05472636815920329,-0.1471730686232191
NWSA,-0.11702515493984511,-0.19588313413014558,-0.08013672616786927,-0.01424501424501412
NEE,0.3072505384063171,0.22116416309012887,0.13571161282275135,0.0017603696776320454
NKE,-0.20788912579957353,-0.24797570850202455,-0.13200934579439383,-0.08642192165817664
NI,0.1375939849624035,0.08744609487302246,0.08484703632887247,-0.020711974110032227
NDSN,0.279095662277306,0.19427744880893294,0.08585401939832216,-0.03027967408059895
NSC,0.19581724854706684,-0.040537780803266754,-0.03719516360407149,-0.06578511301120205
NTRS,0.34494670351362267,0.04237741910808657,-0.032035800539849,-0.015034333212865736
